lambda	class
7.246000000e-01	2
7.246400000e-01	2
7.246800000e-01	2
7.247200000e-01	2
7.247600000e-01	2
7.248000000e-01	2
7.248400000e-01	2
7.248800000e-01	2
7.249200000e-01	2
7.249600000e-01	2
7.250000000e-01	2
7.250400000e-01	2
7.250800000e-01	2
7.251200000e-01	2
7.251600000e-01	2
7.252000000e-01	2
7.252400000e-01	2
7.252800000e-01	2
7.253200000e-01	2
7.253600000e-01	2
7.254000000e-01	2
7.254400000e-01	2
7.254800000e-01	2
7.255200000e-01	2
7.255600000e-01	2
7.256000000e-01	2
7.256400000e-01	2
7.256800000e-01	2
7.257200000e-01	2
7.257600000e-01	2
7.258000000e-01	2
7.258400000e-01	2
7.258800000e-01	2
7.259200000e-01	2
7.259600000e-01	2
7.260000000e-01	2
7.260400000e-01	2
7.260800000e-01	2
7.261200000e-01	2
7.261600000e-01	2
7.262000000e-01	2
7.262400000e-01	2
7.262800000e-01	2
7.263200000e-01	2
7.263600000e-01	2
7.264000000e-01	2
7.264400000e-01	2
7.264800000e-01	2
7.265200000e-01	2
7.265600000e-01	2
7.266000000e-01	2
7.266400000e-01	2
7.266800000e-01	2
7.267200000e-01	2
7.267600000e-01	2
7.268000000e-01	2
7.268400000e-01	2
7.268800000e-01	2
7.269200000e-01	2
7.269600000e-01	2
7.270000000e-01	2
7.270400000e-01	2
7.270800000e-01	2
7.271200000e-01	2
7.271600000e-01	2
7.272000000e-01	2
7.272400000e-01	2
7.272800000e-01	2
7.273200000e-01	2
7.273600000e-01	2
7.274000000e-01	2
7.274400000e-01	2
7.274800000e-01	2
7.275200000e-01	2
7.275600000e-01	2
7.276000000e-01	2
7.276400000e-01	2
7.276800000e-01	2
7.277200000e-01	2
7.277600000e-01	2
7.278000000e-01	2
7.278400000e-01	2
7.278800000e-01	2
7.279200000e-01	2
7.279600000e-01	2
7.280000000e-01	2
7.280400000e-01	2
7.280800000e-01	2
7.281200000e-01	2
7.281600000e-01	2
7.282000000e-01	2
7.282400000e-01	2
7.282800000e-01	2
7.283200000e-01	2
7.283600000e-01	2
7.284000000e-01	2
7.284400000e-01	2
7.284800000e-01	2
7.285200000e-01	2
7.285600000e-01	2
7.286000000e-01	2
7.286400000e-01	2
7.286800000e-01	2
7.287200000e-01	2
7.287600000e-01	2
7.288000000e-01	2
7.288400000e-01	2
7.288800000e-01	2
7.289200000e-01	2
7.289600000e-01	2
7.290000000e-01	2
7.290400000e-01	2
7.290800000e-01	2
7.291200000e-01	2
7.291600000e-01	2
7.292000000e-01	2
7.292400000e-01	2
7.292800000e-01	2
7.293200000e-01	2
7.293600000e-01	2
7.294000000e-01	2
7.294400000e-01	2
7.294800000e-01	2
7.295200000e-01	2
7.295600000e-01	2
7.296000000e-01	2
7.296400000e-01	2
7.296800000e-01	2
7.297200000e-01	2
7.297600000e-01	2
7.298000000e-01	2
7.298400000e-01	2
7.298800000e-01	2
7.299200000e-01	2
7.299600000e-01	2
7.300000000e-01	2
7.300400000e-01	2
7.300800000e-01	2
7.301200000e-01	2
7.301600000e-01	2
7.302000000e-01	2
7.302400000e-01	2
7.302800000e-01	2
7.303200000e-01	2
7.303600000e-01	2
7.304000000e-01	2
7.304400000e-01	2
7.304800000e-01	2
7.305200000e-01	2
7.305600000e-01	2
7.306000000e-01	2
7.306400000e-01	2
7.306800000e-01	2
7.307200000e-01	2
7.307600000e-01	2
7.308000000e-01	2
7.308400000e-01	2
7.308800000e-01	2
7.309200000e-01	2
7.309600000e-01	2
7.310000000e-01	2
7.310400000e-01	2
7.310800000e-01	2
7.311200000e-01	2
7.311600000e-01	2
7.312000000e-01	2
7.312400000e-01	2
7.312800000e-01	2
7.313200000e-01	2
7.313600000e-01	2
7.314000000e-01	2
7.314400000e-01	2
7.314800000e-01	2
7.315200000e-01	2
7.315600000e-01	2
7.316000000e-01	2
7.316400000e-01	2
7.316800000e-01	2
7.317200000e-01	2
7.317600000e-01	2
7.318000000e-01	2
7.318400000e-01	2
7.318800000e-01	2
7.319200000e-01	2
7.319600000e-01	2
7.320000000e-01	2
7.320400000e-01	2
7.320800000e-01	2
7.321200000e-01	2
7.321600000e-01	2
7.322000000e-01	2
7.322400000e-01	2
7.322800000e-01	2
7.323200000e-01	2
7.323600000e-01	2
7.324000000e-01	2
7.324400000e-01	2
7.324800000e-01	2
7.325200000e-01	2
7.325600000e-01	2
7.326000000e-01	2
7.326400000e-01	2
7.326800000e-01	2
7.327200000e-01	2
7.327600000e-01	2
7.328000000e-01	2
7.328400000e-01	2
7.328800000e-01	2
7.329200000e-01	2
7.329600000e-01	2
7.330000000e-01	2
7.330400000e-01	2
7.330800000e-01	2
7.331200000e-01	2
7.331600000e-01	2
7.332000000e-01	2
7.332400000e-01	2
7.332800000e-01	2
7.333200000e-01	2
7.333600000e-01	2
7.334000000e-01	2
7.334400000e-01	2
7.334800000e-01	2
7.335200000e-01	2
7.335600000e-01	2
7.336000000e-01	2
7.336400000e-01	2
7.336800000e-01	2
7.337200000e-01	2
7.337600000e-01	2
7.338000000e-01	2
7.338400000e-01	2
7.338800000e-01	2
7.339200000e-01	2
7.339600000e-01	2
7.340000000e-01	2
7.340400000e-01	2
7.340800000e-01	2
7.341200000e-01	2
7.341600000e-01	2
7.342000000e-01	2
7.342400000e-01	2
7.342800000e-01	2
7.343200000e-01	2
7.343600000e-01	2
7.344000000e-01	2
7.344400000e-01	2
7.344800000e-01	2
7.345200000e-01	2
7.345600000e-01	2
7.346000000e-01	2
7.346400000e-01	2
7.346800000e-01	2
7.347200000e-01	2
7.347600000e-01	2
7.348000000e-01	2
7.348400000e-01	2
7.348800000e-01	2
7.349200000e-01	2
7.349600000e-01	2
7.350000000e-01	2
7.350400000e-01	2
7.350800000e-01	2
7.351200000e-01	2
7.351600000e-01	2
7.352000000e-01	2
7.352400000e-01	2
7.352800000e-01	2
7.353200000e-01	2
7.353600000e-01	2
7.354000000e-01	2
7.354400000e-01	2
7.354800000e-01	2
7.355200000e-01	2
7.355600000e-01	2
7.356000000e-01	2
7.356400000e-01	2
7.356800000e-01	2
7.357200000e-01	2
7.357600000e-01	2
7.358000000e-01	2
7.358400000e-01	2
7.358800000e-01	2
7.359200000e-01	2
7.359600000e-01	2
7.360000000e-01	2
7.360400000e-01	2
7.360800000e-01	2
7.361200000e-01	2
7.361600000e-01	2
7.362000000e-01	2
7.362400000e-01	2
7.362800000e-01	2
7.363200000e-01	2
7.363600000e-01	2
7.364000000e-01	2
7.364400000e-01	2
7.364800000e-01	2
7.365200000e-01	2
7.365600000e-01	2
7.366000000e-01	2
7.366400000e-01	2
7.366800000e-01	2
7.367200000e-01	2
7.367600000e-01	2
7.368000000e-01	2
7.368400000e-01	2
7.368800000e-01	2
7.369200000e-01	2
7.369600000e-01	2
7.370000000e-01	2
7.370400000e-01	2
7.370800000e-01	2
7.371200000e-01	2
7.371600000e-01	2
7.372000000e-01	2
7.372400000e-01	2
7.372800000e-01	2
7.373200000e-01	2
7.373600000e-01	2
7.374000000e-01	2
7.374400000e-01	2
7.374800000e-01	2
7.375200000e-01	2
7.375600000e-01	2
7.376000000e-01	2
7.376400000e-01	2
7.376800000e-01	2
7.377200000e-01	2
7.377600000e-01	2
7.378000000e-01	2
7.378400000e-01	2
7.378800000e-01	2
7.379200000e-01	2
7.379600000e-01	2
7.380000000e-01	2
7.380400000e-01	2
7.380800000e-01	2
7.381200000e-01	2
7.381600000e-01	2
7.382000000e-01	2
7.382400000e-01	2
7.382800000e-01	2
7.383200000e-01	2
7.383600000e-01	2
7.384000000e-01	2
7.384400000e-01	2
7.384800000e-01	2
7.385200000e-01	2
7.385600000e-01	2
7.386000000e-01	2
7.386400000e-01	2
7.386800000e-01	2
7.387200000e-01	2
7.387600000e-01	2
7.388000000e-01	2
7.388400000e-01	2
7.388800000e-01	2
7.389200000e-01	2
7.389600000e-01	2
7.390000000e-01	2
7.390400000e-01	2
7.390800000e-01	2
7.391200000e-01	2
7.391600000e-01	2
7.392000000e-01	2
7.392400000e-01	2
7.392800000e-01	2
7.393200000e-01	2
7.393600000e-01	2
7.394000000e-01	2
7.394400000e-01	2
7.394800000e-01	2
7.395200000e-01	2
7.395600000e-01	2
7.396000000e-01	2
7.396400000e-01	2
7.396800000e-01	2
7.397200000e-01	2
7.397600000e-01	2
7.398000000e-01	2
7.398400000e-01	2
7.398800000e-01	2
7.399200000e-01	2
7.399600000e-01	2
7.400000000e-01	2
7.400400000e-01	2
7.400800000e-01	2
7.401200000e-01	2
7.401600000e-01	2
7.402000000e-01	2
7.402400000e-01	2
7.402800000e-01	2
7.403200000e-01	2
7.403600000e-01	2
7.404000000e-01	2
7.404400000e-01	2
7.404800000e-01	2
7.405200000e-01	2
7.405600000e-01	2
7.406000000e-01	2
7.406400000e-01	2
7.406800000e-01	2
7.407200000e-01	2
7.407600000e-01	2
7.408000000e-01	2
7.408400000e-01	2
7.408800000e-01	2
7.409200000e-01	2
7.409600000e-01	2
7.410000000e-01	2
7.410400000e-01	2
7.410800000e-01	2
7.411200000e-01	2
7.411600000e-01	2
7.412000000e-01	2
7.412400000e-01	2
7.412800000e-01	2
7.413200000e-01	2
7.413600000e-01	2
7.414000000e-01	2
7.414400000e-01	2
7.414800000e-01	2
7.415200000e-01	2
7.415600000e-01	2
7.416000000e-01	2
7.416400000e-01	2
7.416800000e-01	2
7.417200000e-01	2
7.417600000e-01	2
7.418000000e-01	2
7.418400000e-01	2
7.418800000e-01	2
7.419200000e-01	2
7.419600000e-01	2
7.420000000e-01	2
7.420400000e-01	2
7.420800000e-01	2
7.421200000e-01	2
7.421600000e-01	2
7.422000000e-01	2
7.422400000e-01	2
7.422800000e-01	2
7.423200000e-01	2
7.423600000e-01	2
7.424000000e-01	2
7.424400000e-01	2
7.424800000e-01	2
7.425200000e-01	2
7.425600000e-01	2
7.426000000e-01	2
7.426400000e-01	2
7.426800000e-01	2
7.427200000e-01	2
