N	x	y
879	-32	8
880	11	-28
881	17	-20
882	17	-19
883	29	-4
884	-18	-5
885	22	7
886	22	7
887	-23	14
888	6	-14
889	-27	2
890	10	-25
891	-5	28
892	30	-4
893	-2	29
894	-17	-6
895	-26	1
896	23	-12
897	-13	29
898	11	20
899	8	24
900	11	12
901	23	-12
902	10	-25
903	-26	0
904	-32	3
905	30	-9
906	22	8
907	-33	8
908	-15	21
909	12	20
910	-13	30
911	17	-21
912	23	7
913	30	-6
914	-12	30
915	-31	9
916	4	-23
917	-15	28
918	4	-24
919	12	-27
920	-5	29
921	-33	9
922	-33	9
923	-4	30
924	12	21
925	-32	7
926	12	14
927	29	-10
928	-31	10
929	-14	29
930	27	-10
931	-23	4
932	-19	-5
933	-32	4
934	22	9
935	30	-4
936	31	-6
937	-4	31
938	-1	29
939	-28	3
940	3	17
941	21	0
942	8	25
943	10	-26
944	23	8
945	-33	8
946	-8	-11
947	25	-2
948	10	-28
949	10	-29
950	20	-11
951	-23	14
952	11	-29
953	30	-9
954	9	-29
955	32	-6
956	13	20
957	22	6
958	23	8
959	22	10
960	-15	-8
961	23	10
962	-14	27
963	23	11
964	-31	2
965	-33	3
966	11	-29
967	11	-29
968	12	-27
969	-20	15
970	18	-20
971	-33	3
972	14	20
973	-21	0
974	-10	28
975	18	-21
976	17	-22
977	-12	-10
978	8	26
979	-3	31
980	-13	31
981	18	-20
982	-3	32
983	21	-2
984	-15	-9
985	24	10
986	-6	-12
987	12	-27
988	30	-3
989	3	-23
990	-24	1
991	-34	8
992	24	11
993	-34	3
994	8	26
995	-13	31
996	30	-2
997	12	15
998	-3	32
999	1	27
1000	29	-11
1001	32	-6
1002	32	-7
1003	33	-7
1004	9	-30
1005	8	26
1006	12	16
1007	22	6
1008	-2	32
1009	18	-19
1010	-19	-6
1011	-16	28
1012	-11	16
1013	4	-24
1014	13	21
1015	23	-13
1016	8	26
1017	-12	-10
1018	8	26
1019	32	-6
1020	-27	1
1021	-1	30
1022	-3	33
1023	-33	9
1024	-24	14
1025	-34	2
1026	-15	29
1027	15	20
1028	-31	11
1029	10	-28
1030	2	-23
1031	-12	-11
1032	-35	8
1033	30	-2
1034	30	-7
1035	31	-3
1036	-35	2
1037	9	26
1038	30	-2
1039	-1	31
1040	12	22
1041	29	-12
1042	-14	26
1043	16	20
1044	12	-27
1045	-9	-11
1046	2	-23
1047	-35	1
1048	32	-8
1049	32	-6
1050	-5	29
1051	11	-30
1052	-24	13
1053	0	31
1054	31	-2
1055	-12	30
1056	24	-12
1057	9	-30
1058	9	27
1059	-12	-12
1060	9	28
1061	-35	0
1062	25	10
1063	-36	1
1064	-1	32
1065	-36	1
1066	5	-17
1067	9	29
1068	16	21
1069	-36	1
1070	11	-30
1071	-31	11
1072	1	-23
1073	12	23
1074	23	12
1075	-24	15
1076	-36	8
1077	25	-2
1078	-19	13
1079	-31	11
1080	-37	1
1081	-1	33
1082	12	-25
1083	17	-22
1084	-31	12
1085	-37	0
1086	11	-30
1087	18	-21
1088	23	13
1089	-38	1
1090	8	27
1091	17	21
1092	-19	-5
1093	-15	21
1094	12	-25
1095	-35	9
1096	22	0
1097	11	-30
1098	-15	21
1099	10	29
1100	4	-24
1101	-36	7
1102	26	10
1103	28	-11
1104	30	-11
1105	17	-3
1106	-3	33
1107	23	14
1108	33	-8
1109	0	32
1110	22	-13
1111	-3	34
1112	-36	9
1113	29	-3
1114	-24	0
1115	9	-30
1116	-19	-4
1117	10	27
1118	-14	31
1119	10	29
1120	-32	12
1121	-27	1
1122	-32	13
1123	31	-2
1124	-37	2
1125	19	-20
1126	10	30
1127	13	-27
1128	-14	31
1129	2	-24
1130	-15	31
1131	-15	32
1132	31	-1
1133	11	-30
1134	-34	7
1135	23	15
1136	23	15
1137	0	32
1138	-39	1
1139	-15	-10
1140	-7	-12
1141	-39	0
1142	34	-8
1143	-39	0
1144	20	-20
1145	-16	21
1146	-13	18
1147	10	31
1148	24	14
1149	33	-9
1150	9	-26
1151	10	31
1152	-37	-1
1153	-37	-1
1154	-34	1
1155	2	27
1156	-37	8
1157	24	11
1158	0	-23
1159	33	-7
1160	-22	15
1161	-3	35
1162	4	-24
1163	20	-21
1164	11	-31
1165	12	-28
1166	9	-27
1167	34	-7
1168	18	-19
1169	11	30
1170	-38	8
1171	-3	35
1172	10	29
1173	10	31
1174	34	-8
1175	-40	0
1176	11	31
1177	-16	32
1178	-35	10
1179	31	-11
1180	24	14
1181	25	-12
1182	-22	16
1183	-38	8
1184	-39	-1
1185	-37	3
1186	11	-32
1187	23	16
1188	23	17
1189	0	33
1190	-39	-1
1191	-30	12
1192	20	-21
1193	35	-8
1194	-17	32
1195	-28	1
1196	-17	32
1197	22	16
1198	21	-21
1199	9	-30
1200	-18	32
1201	-37	9
1202	10	32
1203	-19	-7
1204	-3	36
1205	-17	28
1206	-18	33
1207	31	-5
1208	-12	-12
1209	25	11
1210	-2	36
1211	-9	-12
1212	2	28
1213	12	31
1214	-36	-1
1215	10	33
1216	34	-6
1217	-1	36
1218	-12	-13
1219	-39	-2
1220	1	-24
1221	-2	37
1222	-24	-1
1223	-3	37
1224	-40	1
1225	10	-31
1226	10	34
1227	35	-6
1228	-19	33
1229	31	-12
1230	26	10
1231	-2	38
1232	-1	-23
1233	-1	37
1234	-20	-6
1235	11	33
1236	-37	-2
1237	31	-13
1238	10	34
1239	-37	9
1240	-3	37
1241	35	-5
1242	36	-5
1243	-1	37
1244	-19	32
1245	12	33
1246	-22	17
1247	9	-31
1248	23	17
1249	10	34
1250	-15	-10
1251	-32	14
1252	-33	14
1253	26	11
1254	-12	-14
1255	-19	34
1256	-20	34
1257	-39	-2
1258	-29	1
1259	11	-32
1260	-3	37
1261	34	-6
1262	36	-8
1263	32	-13
1264	21	-21
1265	33	-10
1266	-37	-3
1267	12	34
1268	-20	35
1269	16	19
1270	9	-31
1271	-20	33
1272	-10	28
1273	17	21
1274	24	17
1275	31	-1
1276	-38	-3
1277	-41	0
1278	-31	14
1279	-21	34
1280	-39	-3
1281	26	-3
1282	-4	37
1283	-42	0
1284	11	-32
1285	-1	38
1286	33	-10
1287	35	-4
1288	0	37
1289	13	34
1290	-37	3
1291	-22	34
1292	37	-8
1293	25	17
1294	-41	-1
1295	-32	15
1296	24	18
1297	16	22
1298	13	35
1299	25	18
1300	37	-8
1301	-20	36
1302	37	-5
1303	25	19
1304	27	11
1305	-21	35
1306	26	9
1307	10	35
1308	32	-13
1309	-39	-4
1310	4	-24
1311	-39	8
1312	-32	16
1313	-21	35
1314	21	-21
1315	13	-25
1316	-22	17
1317	37	-4
1318	0	37
1319	-4	-4
1320	-20	37
1321	12	-31
1322	24	19
1323	8	-29
1324	8	-31
1325	32	-11
1326	10	35
1327	32	-11
1328	8	-32
1329	-31	2
1330	-1	-24
1331	9	29
1332	20	-22
1333	-40	-4
1334	-33	1
1335	37	-4
1336	37	-7
1337	-5	37
1338	1	37
1339	25	20
1340	-19	37
1341	-21	37
1342	38	-7
1343	-6	37
1344	-12	-14
1345	1	38
1346	-22	34
1347	-18	34
1348	-39	7
1349	-22	34
1350	-39	8
1351	-19	-7
1352	11	-32
1353	13	35
1354	26	8
1355	20	-23
1356	12	-29
1357	7	-32
1358	12	-31
1359	-15	0
1360	-13	32
1361	13	36
1362	13	-31
1363	13	-32
1364	16	-8
1365	-42	0
1366	14	-31
1367	11	-32
1368	-38	9
1369	21	-23
1370	13	22
1371	-19	38
1372	-13	-12
1373	37	-3
1374	-9	-13
1375	-41	-1
1376	28	11
1377	-32	16
1378	7	-33
1379	33	-13
1380	-19	38
1381	-43	0
1382	13	-33
1383	-40	2
1384	12	36
1385	-22	37
1386	25	17
1387	-22	17
1388	22	16
1389	38	-8
1390	13	-34
1391	-24	-1
1392	-41	2
1393	21	-21
1394	38	-4
1395	21	-24
1396	-41	-4
1397	-42	-4
1398	39	-7
1399	6	-32
1400	-44	0
1401	10	-32
1402	-3	38
1403	-1	-25
1404	39	-4
1405	-21	-6
1406	-40	7
1407	25	14
1408	25	20
1409	26	19
1410	19	-22
1411	12	35
1412	-21	33
1413	20	5
1414	-33	14
1415	-19	32
1416	-39	6
1417	-23	17
1418	13	-35
1419	-22	38
1420	24	-13
1421	-34	14
1422	29	11
1423	-19	39
1424	-9	-4
1425	-19	40
1426	-8	27
1427	-19	41
1428	33	-13
1429	38	-9
1430	-20	40
1431	10	-33
1432	26	19
1433	26	20
1434	14	36
1435	-40	8
1436	-19	7
1437	33	-14
1438	-17	33
1439	-41	-5
1440	25	-1
1441	35	-3
1442	22	-23
1443	-24	15
1444	-23	18
1445	40	-4
1446	-19	41
1447	-23	37
1448	-34	15
1449	-19	42
1450	23	17
1451	13	-28
1452	38	-10
1453	14	-34
1454	-19	43
1455	40	-5
1456	-41	3
1457	-35	11
1458	-41	-6
1459	1	-25
1460	15	-34
1461	23	-23
1462	40	-4
1463	-12	31
1464	27	8
1465	41	-5
1466	35	-3
1467	26	21
1468	-39	-4
1469	-41	7
1470	-22	38
1471	-22	38
1472	38	-10
1473	-24	-2
1474	39	-8
1475	-38	10
1476	22	14
1477	-13	33
1478	39	-3
1479	41	-4
1480	-14	25
1481	6	-32
1482	-31	16
1483	-23	19
1484	13	-36
1485	6	-32
1486	-2	34
1487	13	-37
1488	-20	42
1489	-24	37
1490	13	31
1491	-42	-3
1492	-19	44
1493	-20	42
1494	14	-36
1495	-22	19
1496	-39	10
1497	26	22
1498	30	11
1499	-42	7
1500	-10	-12
1501	10	35
1502	-42	-4
1503	27	21
1504	1	38
1505	14	36
1506	42	-4
1507	14	-33
1508	15	-36
1509	10	-34
1510	-44	-1
1511	-22	-6
1512	21	-25
1513	1	39
1514	14	-31
1515	-1	-26
1516	-45	-1
1517	-21	40
1518	38	-11
1519	-20	44
1520	-42	8
1521	-18	41
1522	31	-14
1523	-24	38
1524	32	-2
1525	26	7
1526	26	-6
1527	-31	17
1528	-22	-7
1529	15	36
1530	-21	-7
1531	-23	-6
1532	6	-33
1533	1	39
1534	-23	34
1535	28	21
1536	-43	-3
1537	-44	0
1538	18	21
1539	13	-37
1540	14	35
1541	26	23
1542	38	-11
1543	15	36
1544	-25	38
1545	-22	40
1546	-19	45
1547	15	-36
1548	1	39
1549	40	-3
1550	41	-3
1551	24	-23
1552	-18	45
1553	-45	-1
1554	15	-37
1555	-18	46
1556	-45	-1
1557	-20	42
1558	-43	8
1559	1	40
1560	25	-23
1561	10	-34
1562	-24	-6
1563	29	21
1564	-17	33
1565	25	-23
1566	26	-23
1567	6	-31
1568	-42	-5
1569	24	-13
1570	11	36
1571	25	20
1572	-1	-22
1573	-38	-4
1574	13	-37
1575	-1	-22
1576	41	-2
1577	15	-33
1578	-17	45
1579	5	-33
1580	-23	-7
1581	42	-3
1582	27	22
1583	-12	-15
1584	11	27
1585	38	-12
1586	-23	20
1587	42	-2
1588	43	-3
1589	15	36
1590	12	24
1591	43	-3
1592	25	17
1593	28	12
1594	24	-24
1595	15	-37
1596	13	-37
1597	-31	17
1598	-42	3
1599	16	-36
1600	-19	45
1601	-3	39
1602	15	36
1603	-43	8
1604	13	-37
1605	18	22
1606	-41	-7
