q	p	scale
6	71	1.649329866e-01
6	72	1.625325065e-01
6	73	1.661332266e-01
6	74	1.662332466e-01
6	75	1.660332066e-01
6	76	1.627325465e-01
6	77	1.701340268e-01
6	78	1.650330066e-01
6	79	1.713342669e-01
6	80	1.691338268e-01
6	81	1.670334067e-01
6	82	1.670334067e-01
6	83	1.669333867e-01
6	84	1.677335467e-01
6	85	1.649329866e-01
6	86	1.704340868e-01
6	87	1.637327465e-01
6	88	1.706341268e-01
6	89	1.651330266e-01
6	90	1.731346269e-01
6	91	1.620324065e-01
6	92	1.671334267e-01
6	93	1.653330666e-01
6	94	1.673334667e-01
6	95	1.663332667e-01
6	96	1.711342268e-01
6	97	1.679335867e-01
6	98	1.687337467e-01
6	99	1.625325065e-01
6	100	1.659331866e-01
7	1	1.651330266e-01
7	2	1.682336467e-01
7	3	1.673334667e-01
7	4	1.654330866e-01
7	5	1.622324465e-01
7	6	1.666333267e-01
7	7	2.026405281e-01
7	8	1.678335667e-01
7	9	1.619323865e-01
7	10	1.663332667e-01
7	11	1.579315863e-01
7	12	1.672334467e-01
7	13	1.648329666e-01
7	14	1.675335067e-01
7	15	1.664332867e-01
7	16	1.646329266e-01
7	17	1.671334267e-01
7	18	1.712342468e-01
7	19	1.702340468e-01
7	20	1.693338668e-01
7	21	1.672334467e-01
7	22	1.688337668e-01
7	23	1.706341268e-01
7	24	1.602320464e-01
7	25	1.672334467e-01
7	26	1.696339268e-01
7	27	1.703340668e-01
7	28	1.689337868e-01
7	29	1.622324465e-01
7	30	1.689337868e-01
7	31	1.687337467e-01
7	32	1.693338668e-01
7	33	1.650330066e-01
7	34	1.645329066e-01
7	35	1.691338268e-01
7	36	1.667333467e-01
7	37	1.684336867e-01
7	38	1.637327465e-01
7	39	1.643328666e-01
7	40	1.670334067e-01
7	41	1.685337067e-01
7	42	1.686337267e-01
7	43	1.701340268e-01
7	44	1.653330666e-01
7	45	1.645329066e-01
7	46	1.649329866e-01
7	47	1.659331866e-01
7	48	1.667333467e-01
7	49	1.678335667e-01
7	50	1.662332466e-01
7	51	1.680336067e-01
7	52	1.608321664e-01
7	53	1.628325665e-01
7	54	1.693338668e-01
7	55	1.709341868e-01
7	56	1.636327265e-01
7	57	1.672334467e-01
7	58	1.602320464e-01
7	59	1.686337267e-01
7	60	1.707341468e-01
7	61	1.632326465e-01
7	62	1.662332466e-01
7	63	1.646329266e-01
7	64	1.603320664e-01
7	65	1.628325665e-01
7	66	1.666333267e-01
7	67	1.624324865e-01
7	68	1.669333867e-01
7	69	1.681336267e-01
7	70	1.693338668e-01
7	71	1.665333067e-01
7	72	1.627325465e-01
7	73	1.689337868e-01
7	74	1.692338468e-01
7	75	1.713342669e-01
7	76	1.652330466e-01
7	77	1.674334867e-01
7	78	1.673334667e-01
7	79	1.700340068e-01
7	80	1.650330066e-01
7	81	1.649329866e-01
7	82	1.708341668e-01
7	83	1.664332867e-01
7	84	1.709341868e-01
7	85	1.676335267e-01
7	86	1.718343669e-01
7	87	1.686337267e-01
7	88	1.678335667e-01
7	89	1.661332266e-01
7	90	1.702340468e-01
7	91	1.671334267e-01
7	92	1.640328066e-01
7	93	1.690338068e-01
7	94	1.700340068e-01
7	95	1.662332466e-01
7	96	1.660332066e-01
7	97	1.668333667e-01
7	98	1.673334667e-01
7	99	1.699339868e-01
7	100	1.676335267e-01
8	1	1.645329066e-01
8	2	1.642328466e-01
8	3	1.667333467e-01
8	4	1.677335467e-01
8	5	1.688337668e-01
8	6	1.692338468e-01
8	7	1.678335667e-01
8	8	2.015403081e-01
8	9	1.680336067e-01
8	10	1.615323065e-01
8	11	1.646329266e-01
8	12	1.631326265e-01
8	13	1.613322665e-01
8	14	1.678335667e-01
8	15	1.665333067e-01
8	16	1.695339068e-01
8	17	1.653330666e-01
8	18	1.646329266e-01
8	19	1.671334267e-01
8	20	1.694338868e-01
8	21	1.715343069e-01
8	22	1.667333467e-01
8	23	1.605321064e-01
8	24	1.690338068e-01
8	25	1.627325465e-01
8	26	1.713342669e-01
8	27	1.671334267e-01
8	28	1.668333667e-01
8	29	1.649329866e-01
8	30	1.646329266e-01
8	31	1.650330066e-01
8	32	1.673334667e-01
8	33	1.658331666e-01
8	34	1.648329666e-01
8	35	1.656331266e-01
8	36	1.646329266e-01
8	37	1.682336467e-01
8	38	1.667333467e-01
8	39	1.674334867e-01
8	40	1.725345069e-01
8	41	1.660332066e-01
8	42	1.727345469e-01
8	43	1.610322064e-01
8	44	1.703340668e-01
8	45	1.647329466e-01
8	46	1.624324865e-01
8	47	1.661332266e-01
8	48	1.644328866e-01
8	49	1.637327465e-01
8	50	1.682336467e-01
8	51	1.621324265e-01
8	52	1.647329466e-01
8	53	1.663332667e-01
8	54	1.704340868e-01
8	55	1.622324465e-01
8	56	1.703340668e-01
8	57	1.613322665e-01
8	58	1.660332066e-01
8	59	1.666333267e-01
8	60	1.682336467e-01
8	61	1.693338668e-01
8	62	1.673334667e-01
8	63	1.732346469e-01
8	64	1.642328466e-01
8	65	1.715343069e-01
8	66	1.669333867e-01
8	67	1.709341868e-01
8	68	1.669333867e-01
8	69	1.636327265e-01
8	70	1.691338268e-01
8	71	1.666333267e-01
8	72	1.708341668e-01
8	73	1.697339468e-01
8	74	1.686337267e-01
8	75	1.708341668e-01
8	76	1.659331866e-01
8	77	1.689337868e-01
8	78	1.674334867e-01
8	79	1.631326265e-01
8	80	1.621324265e-01
8	81	1.622324465e-01
8	82	1.623324665e-01
8	83	1.701340268e-01
8	84	1.678335667e-01
8	85	1.632326465e-01
8	86	1.662332466e-01
8	87	1.650330066e-01
8	88	1.599319864e-01
8	89	1.696339268e-01
8	90	1.674334867e-01
8	91	1.692338468e-01
8	92	1.689337868e-01
8	93	1.719343869e-01
8	94	1.656331266e-01
8	95	1.666333267e-01
8	96	1.683336667e-01
8	97	1.632326465e-01
8	98	1.667333467e-01
8	99	1.672334467e-01
8	100	1.700340068e-01
9	1	1.676335267e-01
9	2	1.653330666e-01
9	3	1.675335067e-01
9	4	1.655331066e-01
9	5	1.704340868e-01
9	6	1.641328266e-01
9	7	1.619323865e-01
9	8	1.680336067e-01
9	9	1.971394279e-01
9	10	1.608321664e-01
9	11	1.662332466e-01
9	12	1.692338468e-01
9	13	1.627325465e-01
9	14	1.684336867e-01
9	15	1.693338668e-01
9	16	1.638327666e-01
9	17	1.636327265e-01
9	18	1.706341268e-01
9	19	1.670334067e-01
9	20	1.664332867e-01
9	21	1.676335267e-01
9	22	1.635327065e-01
9	23	1.657331466e-01
9	24	1.668333667e-01
9	25	1.643328666e-01
9	26	1.686337267e-01
9	27	1.648329666e-01
9	28	1.721344269e-01
9	29	1.704340868e-01
9	30	1.657331466e-01
9	31	1.675335067e-01
9	32	1.676335267e-01
9	33	1.661332266e-01
9	34	1.671334267e-01
9	35	1.723344669e-01
9	36	1.653330666e-01
9	37	1.693338668e-01
9	38	1.694338868e-01
9	39	1.625325065e-01
9	40	1.643328666e-01
9	41	1.642328466e-01
9	42	1.685337067e-01
9	43	1.703340668e-01
9	44	1.676335267e-01
9	45	1.658331666e-01
9	46	1.686337267e-01
9	47	1.629325865e-01
9	48	1.685337067e-01
9	49	1.664332867e-01
9	50	1.653330666e-01
9	51	1.654330866e-01
9	52	1.673334667e-01
9	53	1.690338068e-01
9	54	1.656331266e-01
9	55	1.657331466e-01
9	56	1.667333467e-01
9	57	1.671334267e-01
9	58	1.647329466e-01
9	59	1.707341468e-01
9	60	1.677335467e-01
9	61	1.637327465e-01
9	62	1.685337067e-01
9	63	1.636327265e-01
9	64	1.629325865e-01
9	65	1.668333667e-01
9	66	1.646329266e-01
9	67	1.673334667e-01
9	68	1.686337267e-01
9	69	1.685337067e-01
9	70	1.669333867e-01
9	71	1.695339068e-01
9	72	1.630326065e-01
9	73	1.669333867e-01
9	74	1.658331666e-01
9	75	1.655331066e-01
9	76	1.629325865e-01
9	77	1.637327465e-01
9	78	1.660332066e-01
9	79	1.712342468e-01
9	80	1.722344469e-01
9	81	1.658331666e-01
9	82	1.670334067e-01
9	83	1.673334667e-01
9	84	1.632326465e-01
9	85	1.662332466e-01
9	86	1.631326265e-01
9	87	1.679335867e-01
9	88	1.709341868e-01
9	89	1.639327866e-01
9	90	1.610322064e-01
9	91	1.663332667e-01
9	92	1.652330466e-01
9	93	1.651330266e-01
9	94	1.653330666e-01
9	95	1.671334267e-01
9	96	1.642328466e-01
9	97	1.649329866e-01
9	98	1.690338068e-01
9	99	1.678335667e-01
9	100	1.681336267e-01
10	1	1.738347670e-01
10	2	1.653330666e-01
10	3	1.633326665e-01
10	4	1.667333467e-01
10	5	1.654330866e-01
10	6	1.653330666e-01
10	7	1.663332667e-01
10	8	1.615323065e-01
10	9	1.608321664e-01
10	10	2.131426285e-01
10	11	1.683336667e-01
10	12	1.701340268e-01
10	13	1.684336867e-01
10	14	1.654330866e-01
10	15	1.671334267e-01
10	16	1.663332667e-01
10	17	1.671334267e-01
10	18	1.662332466e-01
10	19	1.677335467e-01
10	20	1.702340468e-01
10	21	1.646329266e-01
10	22	1.660332066e-01
10	23	1.623324665e-01
10	24	1.666333267e-01
10	25	1.645329066e-01
10	26	1.713342669e-01
10	27	1.702340468e-01
10	28	1.596319264e-01
10	29	1.667333467e-01
10	30	1.683336667e-01
10	31	1.658331666e-01
10	32	1.668333667e-01
10	33	1.693338668e-01
10	34	1.642328466e-01
10	35	1.672334467e-01
10	36	1.617323465e-01
10	37	1.610322064e-01
10	38	1.687337467e-01
10	39	1.627325465e-01
10	40	1.674334867e-01
10	41	1.683336667e-01
10	42	1.669333867e-01
10	43	1.643328666e-01
10	44	1.619323865e-01
10	45	1.646329266e-01
10	46	1.670334067e-01
10	47	1.649329866e-01
10	48	1.646329266e-01
10	49	1.660332066e-01
10	50	1.622324465e-01
10	51	1.689337868e-01
10	52	1.611322264e-01
10	53	1.651330266e-01
10	54	1.673334667e-01
10	55	1.684336867e-01
10	56	1.744348870e-01
10	57	1.658331666e-01
10	58	1.643328666e-01
10	59	1.695339068e-01
10	60	1.671334267e-01
10	61	1.670334067e-01
10	62	1.652330466e-01
10	63	1.691338268e-01
10	64	1.684336867e-01
10	65	1.671334267e-01
10	66	1.633326665e-01
10	67	1.654330866e-01
10	68	1.757351470e-01
10	69	1.657331466e-01
10	70	1.646329266e-01
10	71	1.650330066e-01
10	72	1.652330466e-01
10	73	1.653330666e-01
10	74	1.694338868e-01
10	75	1.650330066e-01
10	76	1.661332266e-01
10	77	1.649329866e-01
10	78	1.642328466e-01
10	79	1.664332867e-01
10	80	1.690338068e-01
10	81	1.664332867e-01
10	82	1.692338468e-01
10	83	1.662332466e-01
10	84	1.700340068e-01
10	85	1.648329666e-01
10	86	1.663332667e-01
10	87	1.615323065e-01
10	88	1.650330066e-01
10	89	1.668333667e-01
10	90	1.658331666e-01
10	91	1.681336267e-01
10	92	1.737347469e-01
10	93	1.682336467e-01
10	94	1.626325265e-01
10	95	1.672334467e-01
10	96	1.624324865e-01
10	97	1.703340668e-01
10	98	1.646329266e-01
10	99	1.701340268e-01
10	100	1.659331866e-01
11	1	1.724344869e-01
11	2	1.668333667e-01
11	3	1.638327666e-01
11	4	1.709341868e-01
11	5	1.625325065e-01
11	6	1.595319064e-01
11	7	1.579315863e-01
11	8	1.646329266e-01
11	9	1.662332466e-01
11	10	1.683336667e-01
11	11	2.083416683e-01
11	12	1.640328066e-01
11	13	1.700340068e-01
11	14	1.629325865e-01
11	15	1.693338668e-01
11	16	1.684336867e-01
11	17	1.664332867e-01
11	18	1.703340668e-01
11	19	1.670334067e-01
11	20	1.663332667e-01
11	21	1.676335267e-01
11	22	1.667333467e-01
11	23	1.693338668e-01
11	24	1.675335067e-01
11	25	1.717343469e-01
11	26	1.667333467e-01
11	27	1.679335867e-01
11	28	1.669333867e-01
11	29	1.653330666e-01
11	30	1.674334867e-01
11	31	1.688337668e-01
11	32	1.683336667e-01
11	33	1.658331666e-01
11	34	1.616323265e-01
11	35	1.620324065e-01
11	36	1.620324065e-01
11	37	1.656331266e-01
11	38	1.709341868e-01
11	39	1.687337467e-01
11	40	1.687337467e-01
11	41	1.682336467e-01
11	42	1.611322264e-01
11	43	1.657331466e-01
11	44	1.653330666e-01
11	45	1.633326665e-01
11	46	1.679335867e-01
11	47	1.683336667e-01
11	48	1.591318264e-01
11	49	1.629325865e-01
11	50	1.666333267e-01
11	51	1.715343069e-01
11	52	1.676335267e-01
11	53	1.662332466e-01
11	54	1.641328266e-01
11	55	1.617323465e-01
11	56	1.610322064e-01
11	57	1.641328266e-01
11	58	1.706341268e-01
11	59	1.635327065e-01
11	60	1.614322865e-01
11	61	1.662332466e-01
11	62	1.687337467e-01
11	63	1.661332266e-01
11	64	1.645329066e-01
11	65	1.699339868e-01
11	66	1.689337868e-01
11	67	1.709341868e-01
11	68	1.667333467e-01
11	69	1.680336067e-01
11	70	1.706341268e-01
11	71	1.669333867e-01
11	72	1.685337067e-01
11	73	1.653330666e-01
11	74	1.689337868e-01
