t	<x^1>
950	5.668000000e-05
951	5.990000000e-05
952	6.058000000e-05
953	5.938000000e-05
954	6.076000000e-05
955	5.408000000e-05
956	5.018000000e-05
957	5.476000000e-05
958	5.248000000e-05
959	5.096000000e-05
960	5.194000000e-05
961	5.188000000e-05
962	4.982000000e-05
963	4.234000000e-05
964	4.826000000e-05
965	4.742000000e-05
966	4.552000000e-05
967	4.768000000e-05
968	4.694000000e-05
969	5.056000000e-05
970	5.382000000e-05
971	6.042000000e-05
972	6.368000000e-05
973	6.196000000e-05
974	6.026000000e-05
975	6.030000000e-05
976	5.832000000e-05
977	5.578000000e-05
978	5.636000000e-05
979	5.754000000e-05
980	5.686000000e-05
981	5.644000000e-05
982	5.700000000e-05
983	6.506000000e-05
984	6.430000000e-05
985	6.042000000e-05
986	5.502000000e-05
987	5.536000000e-05
988	5.474000000e-05
989	5.968000000e-05
990	5.658000000e-05
991	5.102000000e-05
992	4.546000000e-05
993	4.590000000e-05
994	4.756000000e-05
995	4.828000000e-05
996	4.886000000e-05
997	5.054000000e-05
998	4.882000000e-05
999	5.302000000e-05
